EmpID,Name,Age,Department,City,Salary,Date
101,Amit,29,IT,Pune,55000,2026-08-01
102,Neha,34,HR,Mumbai,62000,2026-08-02
103,Raj,41,Finance,Delhi,72000,2026-08-03
104,Simran,26,Marketing,Nagpur,48000,2026-08-04
105,Arjun,,IT,Bangalore,83000,2026-08-05
106,Pooja,30,Finance,Pune,,2026-08-06
107,Karan,27,HR,Delhi,51000,2026-08-07
108,Meena,45,Marketing,Mumbai,75000,2026-08-08
109,Suresh,31,IT,Hyderabad,60000,2026-08-09
110,Anita,36,Finance,Chennai,71000,2026-08-10
111,Vikas,28,HR,Pune,52000,2026-08-11
112,Rekha,40,Marketing,Delhi,68000,2026-08-12
113,Manoj,33,IT,Mumbai,64000,2026-08-13
114,Divya,29,Finance,Nagpur,57000,2026-08-14
115,Sachin,42,HR,Bangalore,75000,2026-08-15
116,Preeti,25,Marketing,Pune,46000,2026-08-16
117,Rohit,37,IT,Delhi,82000,2026-08-17
118,Kavita,32,Finance,Mumbai,69000,2026-08-18
119,Deepak,39,HR,Hyderabad,70000,2026-08-19
120,Shalini,28,Marketing,Chennai,53000,2026-08-20
121,Kapil,35,Marketing,Mumbai,,2026-09-28
